,1,2,3,4,5,6,7,8,9,10
1970,0.044,0.11,0.243,0.281,0.369,0.41,0.468,0.636,0.732,0.896358558
1971,0.052,0.106,0.259,0.354,0.413,0.489,0.512,0.583,0.696,0.8769098758
1972,0.057,0.154,0.225,0.418,0.473,0.534,0.579,0.606,0.655,0.9292955722
1973,0.037,0.129,0.243,0.32,0.468,0.521,0.566,0.583,0.617,0.8035574276
1974,0.05,0.102,0.224,0.427,0.437,0.524,0.57,0.629,0.652,0.8519459964
1975,0.065,0.138,0.193,0.399,0.483,0.544,0.61,0.668,0.704,0.9429022595
1976,0.083,0.165,0.233,0.316,0.484,0.55,0.593,0.658,0.694,0.9306753505
1977,0.066,0.179,0.274,0.319,0.405,0.551,0.627,0.69,0.667,0.938416712
1978,0.066,0.148,0.329,0.383,0.411,0.467,0.547,0.63,0.704,0.9431401982
1979,0.063,0.174,0.266,0.375,0.414,0.459,0.543,0.667,0.764,1.0044062231
1980,0.05,0.159,0.299,0.44,0.444,0.524,0.582,0.651,0.778,1.0582203831
1981,0.042,0.136,0.246,0.433,0.473,0.536,0.57,0.624,0.707,1.0328063696
1982,0.049,0.125,0.258,0.361,0.49,0.589,0.631,0.679,0.726,0.9808836242
1983,0.046,0.124,0.25,0.392,0.494,0.559,0.624,0.712,0.754,0.917283456
1984,0.049,0.126,0.223,0.425,0.464,0.571,0.649,0.692,0.787,1.0287919269
1985,0.05,0.144,0.238,0.326,0.452,0.536,0.635,0.656,0.764,1.0113827182
1986,0.044,0.124,0.252,0.317,0.44,0.533,0.692,0.779,0.888,1.0919461871
1987,0.037,0.103,0.204,0.383,0.401,0.503,0.573,0.711,0.747,0.9843105148
1988,0.037,0.096,0.176,0.269,0.426,0.467,0.547,0.644,0.706,0.9732212418
1989,0.04,0.099,0.193,0.245,0.362,0.484,0.553,0.616,0.759,0.8835863799
1990,0.045,0.109,0.184,0.27,0.343,0.422,0.555,0.647,0.701,0.9720420168
1991,0.05,0.131,0.191,0.269,0.342,0.401,0.463,0.633,0.652,0.8261291361
1992,0.047,0.123,0.204,0.275,0.318,0.403,0.5,0.573,0.683,0.8335202079
1993,0.052,0.117,0.214,0.327,0.33,0.391,0.49,0.587,0.633,0.8111262961
1994,0.054,0.143,0.22,0.297,0.36,0.404,0.462,0.533,0.653,0.7984958586
1995,0.051,0.14,0.26,0.342,0.399,0.448,0.509,0.584,0.678,0.8041785238
1996,0.044,0.116,0.234,0.375,0.39,0.462,0.488,0.554,0.66,0.8153499591
1997,0.032,0.116,0.186,0.375,0.439,0.492,0.521,0.543,0.627,0.8523893805
1998,0.039,0.08,0.208,0.339,0.474,0.577,0.581,0.648,0.656,0.8115363899
1999,0.045,0.09,0.153,0.32,0.437,0.524,0.586,0.644,0.664,0.7801823472
2000,0.052,0.105,0.169,0.224,0.408,0.467,0.649,0.695,0.656,0.786702432
2001,0.062,0.121,0.207,0.237,0.331,0.452,0.56,0.641,0.798,0.8297180598
2002,0.049,0.117,0.218,0.306,0.319,0.403,0.446,0.612,0.685,0.8730189155
2003,0.061,0.112,0.228,0.27,0.344,0.391,0.464,0.6,0.714,0.7867636787
2004,0.048,0.116,0.206,0.313,0.384,0.43,0.489,0.495,0.78,0.8752425926
2005,0.054,0.105,0.219,0.241,0.378,0.422,0.434,0.527,0.621,1.0103996737
2006,0.053,0.129,0.195,0.321,0.354,0.424,0.439,0.506,0.583,0.7306732373
2007,0.048,0.093,0.239,0.241,0.337,0.394,0.458,0.412,0.526,0.5484892772
2008,0.05,0.114,0.2,0.278,0.355,0.429,0.484,0.627,0.598,0.730671875
